번호,국가,물질명,한국식품유형,식품유형,함량정보,combined_text
43164,미국,"acacia gum, gum arabic",냉동식품,기타 모든 식품군(섹션 184.1330에 열거된 식품 제외),"(GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)","acacia gum, gum arabic (GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)"
43163,미국,"acacia gum, gum arabic",식물성 원료,기타 모든 식품군(섹션 184.1330에 열거된 식품 제외),"(GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)","acacia gum, gum arabic (GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)"
43162,미국,"acacia gum, gum arabic",동물성 원료,기타 모든 식품군(섹션 184.1330에 열거된 식품 제외),"(GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)","acacia gum, gum arabic (GRAS: [섹션 170.3(o)(8)의 유화제 및 유화제염; 섹션 170.3(o)(12)의 향료 및 보조제; 섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(24)의 가공보조제; 섹션 170.3(o)(28)의 안정제 및 증점제; 섹션 170.3(o)(30)의 표면처리제; 섹션 170.3(o)(32)의 텍스처라이저]최종식품의 1.0% 이하, 섹션 184.1330에 열거된 식품 제외(섹션 184.1330에 규정된 수준)"
43161,미국,dioctyl sodium sulfosuccinate,치즈류,기타 식품을 곁들인 크림 치즈,0.5% 이하(규정 Sec. 133.134 Cream cheese with other foods 참조),dioctyl sodium sulfosuccinate 0.5% 이하(규정 Sec. 133.134 Cream cheese with other foods 참조)
43160,미국,dehydroacetic acid,과일·채소류음료,껍질벗긴 스쿼시,66ppm 이하(Dehydroacetic acid이 스쿼시 안이나 위에 남게),dehydroacetic acid 66ppm 이하(Dehydroacetic acid이 스쿼시 안이나 위에 남게)
43159,미국,hydrogen peroxide,동물성 원료,내장,(GRAS: [표백제] 목적에 충분한 양),hydrogen peroxide (GRAS: [표백제] 목적에 충분한 양)
43158,미국,sodium metasilicate,동물성 원료,내장,"(GRAS: [가공보조제] 박피보조제로 사용, GMP에 따라 사용)","sodium metasilicate (GRAS: [가공보조제] 박피보조제로 사용, GMP에 따라 사용)"
43157,미국,sodium lauryl sulfate (sodium lauryl sulphate),알가공품,냉동 난백,[유화제] 125ppm 이하,sodium lauryl sulfate (sodium lauryl sulphate) [유화제] 125ppm 이하
43156,미국,corn syrup,과일·채소류음료,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),corn syrup 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43155,미국,high fructose corn syrup,과일·채소류음료,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),high fructose corn syrup 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43154,미국,invert sugar,과일·채소류음료,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),invert sugar 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43153,미국,malt syrup (malt extract),과일·채소류음료,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),malt syrup (malt extract) 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43152,미국,sucrose,과일·채소류음료,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),sucrose 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43151,미국,corn syrup,냉동식품,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),corn syrup 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43150,미국,high fructose corn syrup,냉동식품,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),high fructose corn syrup 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43149,미국,invert sugar,냉동식품,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),invert sugar 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43148,미국,malt syrup (malt extract),냉동식품,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),malt syrup (malt extract) 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43147,미국,sucrose,냉동식품,냉동 농축 오렌지주스,일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조),sucrose 일반사용기준(규정 Sec. 146.146 Frozen concentrated orange juice 참조)
43146,미국,(6S)-5-methyltetrahydrofolate (MTHF) calcium,알가공품,냉동 달걀,0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조),(6S)-5-methyltetrahydrofolate (MTHF) calcium 0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조)
43145,미국,Monosodium phosphate,알가공품,냉동 달걀,0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조),Monosodium phosphate 0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조)
43144,미국,(6S)-5-methyltetrahydrofolate (MTHF) calcium,냉동식품,냉동 달걀,0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조),(6S)-5-methyltetrahydrofolate (MTHF) calcium 0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조)
43143,미국,Monosodium phosphate,냉동식품,냉동 달걀,0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조),Monosodium phosphate 0.5% 이하(규정 Sec. 160.110 Frozen eggs 참조)
43142,미국,"acacia gum, gum arabic",빙과,냉동 당과 제품(팝시클),"(GRAS: [조성보조제, 안정제, 증점제] 6.0% 이하)(GRAS: [조성보조제, 안정제, 증점제] 6.0% 이하)","acacia gum, gum arabic (GRAS: [조성보조제, 안정제, 증점제] 6.0% 이하)(GRAS: [조성보조제, 안정제, 증점제] 6.0% 이하)"
43141,미국,"acacia gum, gum arabic",빙과,냉동 당과 제품(팝시클),(GRAS: [섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(28)의 안정제 및 증점제]최종식품의 6.0% 이하,"acacia gum, gum arabic (GRAS: [섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(28)의 안정제 및 증점제]최종식품의 6.0% 이하"
43140,미국,"acacia gum, gum arabic",당류가공품류,냉동 당과 제품(팝시클),(GRAS: [섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(28)의 안정제 및 증점제]최종식품의 6.0% 이하,"acacia gum, gum arabic (GRAS: [섹션 170.3(o)(14)의 조성보조제; 섹션 170.3(o)(28)의 안정제 및 증점제]최종식품의 6.0% 이하"
43139,미국,ethoxylated diglycerides,아이스크림류,냉동 디저트,[유화제] 최종 냉동 디저트의 중량 0.2% 이하,ethoxylated diglycerides [유화제] 최종 냉동 디저트의 중량 0.2% 이하
43138,미국,lactylic esters of fatty acids,아이스크림류,냉동 디저트,"[유화제, 가소제(plasticizers), 또는 계면활성제 surface-active agents)] 물리적, 기술적 효과를 위해 요구되는 양보다 크지 않게 사용","lactylic esters of fatty acids [유화제, 가소제(plasticizers), 또는 계면활성제 surface-active agents)] 물리적, 기술적 효과를 위해 요구되는 양보다 크지 않게 사용"
43137,미국,microparticulated protein product,아이스크림류,냉동 디저트,"(GRAS: [증점제, 텍스처라이저] 스탠다드화된 냉동 디저트에서 요구하는 유지방을 대체하기 위해 이 성분을 사용하는 것은 허용되지 않음)","microparticulated protein product (GRAS: [증점제, 텍스처라이저] 스탠다드화된 냉동 디저트에서 요구하는 유지방을 대체하기 위해 이 성분을 사용하는 것은 허용되지 않음)"
43136,미국,spirulina extract,아이스크림류,냉동 디저트,GMP에 따름,spirulina extract GMP에 따름
43135,미국,ethoxylated diglycerides,냉동식품,냉동 디저트,[유화제] 건조 성분의 중량 0.2% 이하,ethoxylated diglycerides [유화제] 건조 성분의 중량 0.2% 이하
43134,미국,bakers yeast glycan,아이스크림류,냉동 디저트 유사품,[170.3(O)(8)에 정의된 안정제 및 증점제  170.3(O)(32)에 정의된 텍스처라이저] GMP를 초과하지 않는 양[170.3(O)(8)에 정의된 안정제 및 증점제  170.3(O)(32)에 정의된 텍스처라이저] GMP를 초과하지 않는 양,bakers yeast glycan [170.3(O)(8)에 정의된 안정제 및 증점제  170.3(O)(32)에 정의된 텍스처라이저] GMP를 초과하지 않는 양[170.3(O)(8)에 정의된 안정제 및 증점제  170.3(O)(32)에 정의된 텍스처라이저] GMP를 초과하지 않는 양
43133,미국,corn syrup,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),corn syrup 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43132,미국,high fructose corn syrup,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),high fructose corn syrup 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43131,미국,invert sugar,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),invert sugar 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43130,미국,malt syrup (malt extract),냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),malt syrup (malt extract) 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43129,미국,monosodium glutamate,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),monosodium glutamate 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43128,미국,monoammonium glutamate,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),monoammonium glutamate 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43127,미국,monopotassium glutamate,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),monopotassium glutamate 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43126,미국,sucrose,냉동식품,냉동 완두콩,일반사용기준(규정 Sec. 158.170 Frozen peas 참조),sucrose 일반사용기준(규정 Sec. 158.170 Frozen peas 참조)
43125,미국,adipic acid,아이스크림류,냉동 유가공 디저트,"[향료, 발효제, 산도조절제] (GRAS: [향료, 발효제, 산도조절제] 0.0004% 이하, GMP에 따라 사용)","adipic acid [향료, 발효제, 산도조절제] (GRAS: [향료, 발효제, 산도조절제] 0.0004% 이하, GMP에 따라 사용)"
43124,미국,calcium sulfate (calcium sulphate),아이스크림류,냉동 유가공 디저트,"(GRAS: [고결방지제, 착색료, 반죽강화제, 건조제, 응고제, 밀가루개량제, 조성보조제, 팽창제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 상승제, 텍스처라이저] 0.5% 이하, GMP에 따라 사용)","calcium sulfate (calcium sulphate) (GRAS: [고결방지제, 착색료, 반죽강화제, 건조제, 응고제, 밀가루개량제, 조성보조제, 팽창제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 상승제, 텍스처라이저] 0.5% 이하, GMP에 따라 사용)"
43123,미국,caprylic acid,아이스크림류,냉동 유가공 디저트,"(GRAS: [향료 및 보조제] 0.005% 이하, GMP에 따라 사용)","caprylic acid (GRAS: [향료 및 보조제] 0.005% 이하, GMP에 따라 사용)"
43122,미국,corn silk and corn silk extract,아이스크림류,냉동 유가공 디저트,(GRAS: [향료] 10ppm),corn silk and corn silk extract (GRAS: [향료] 10ppm)
43121,미국,ethyl formate,아이스크림류,냉동 유가공 디저트,"(GRAS: [향료 및 보조제] 0.02% 이하, GMP에 따라 사용)","ethyl formate (GRAS: [향료 및 보조제] 0.02% 이하, GMP에 따라 사용)"
43120,미국,menhaden oil,아이스크림류,냉동 유가공 디저트,"(GRAS:  5.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)","menhaden oil (GRAS:  5.0% 이하, 이 성분은 에이코사펜타엔산과 도코사헥사엔산의 총 섭취량이 한 명당 일일 3.0g을 넘지 않도록 해야 함. 이 성분을 안전하게 사용하기 위해서는 Menhaden oil은 에이코사펜타엔산과 도코사헥사엔의 주요 공급원이 되는 다른 오일을 함께 사용해서는 안됨. 부분적으로 경화된 기름 및 경화된 Menhaden oil은 이 장의 Sec. 170.3(n)(12)에 정의된대로 현행 GMP를 초과하지 않는 수준에서 식품에 식용지방이나 기름으로 사용됨, GMP에 따라 사용)"
43119,미국,propylene glycol alginate,아이스크림류,냉동 유가공 디저트,[안정제] 최종 제품의 중량 0.5%를 초과하지 않음,propylene glycol alginate [안정제] 최종 제품의 중량 0.5%를 초과하지 않음
43118,미국,rennet (animal-derived) and chymosin preparation (fermentation-derived),아이스크림류,냉동 유가공 디저트,"(GRAS: [효소제, 가공보조제, 안정제, 증점제] GMP에 따라 사용)","rennet (animal-derived) and chymosin preparation (fermentation-derived) (GRAS: [효소제, 가공보조제, 안정제, 증점제] GMP에 따라 사용)"
43117,미국,sorbitol,아이스크림류,냉동 유가공 디저트,"(GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 17% 이하, GMP에 따라 사용)","sorbitol (GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 17% 이하, GMP에 따라 사용)"
43116,미국,sterculia gum (karaya gum),아이스크림류,냉동 유가공 디저트,(GRAS: [조성보조제] 0.3% 이하),sterculia gum (karaya gum) (GRAS: [조성보조제] 0.3% 이하)
43115,미국,tannic acid,아이스크림류,냉동 유가공 디저트,(GRAS: [향료 및 보조제] 0.04% 이하),tannic acid (GRAS: [향료 및 보조제] 0.04% 이하)
43114,미국,triacetin (glyceryl triacetate),아이스크림류,냉동 유가공 디저트,(GRAS: GMP에 따라 사용),triacetin (glyceryl triacetate) (GRAS: GMP에 따라 사용)
43113,미국,tributyrin,아이스크림류,냉동 유가공 디저트,(GRAS: GMP에 따라 사용),tributyrin (GRAS: GMP에 따라 사용)
43112,미국,calcium sulfate (calcium sulphate),아이스크림류,냉동 유가공 디저트 믹스,"(GRAS: [고결방지제, 착색료, 반죽강화제, 건조제, 응고제, 밀가루개량제, 조성보조제, 팽창제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 상승제, 텍스처라이저] 0.5% 이하, GMP에 따라 사용)","calcium sulfate (calcium sulphate) (GRAS: [고결방지제, 착색료, 반죽강화제, 건조제, 응고제, 밀가루개량제, 조성보조제, 팽창제, 영양강화제, 산도조절제, 가공보조제, 안정제, 증점제, 상승제, 텍스처라이저] 0.5% 이하, GMP에 따라 사용)"
43111,미국,rennet (animal-derived) and chymosin preparation (fermentation-derived),아이스크림류,냉동 유가공 디저트 믹스,"(GRAS: [효소제, 가공보조제, 안정제, 증점제] GMP에 따라 사용)","rennet (animal-derived) and chymosin preparation (fermentation-derived) (GRAS: [효소제, 가공보조제, 안정제, 증점제] GMP에 따라 사용)"
43110,미국,sorbitol,아이스크림류,냉동 유가공 디저트 믹스,"(GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 17% 이하, GMP에 따라 사용)","sorbitol (GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 17% 이하, GMP에 따라 사용)"
43109,미국,sterculia gum (karaya gum),아이스크림류,냉동 유가공 디저트 믹스,(GRAS: [조성보조제] 0.3% 이하),sterculia gum (karaya gum) (GRAS: [조성보조제] 0.3% 이하)
43108,미국,tannic acid,아이스크림류,냉동 유가공 디저트 믹스,(GRAS: [향료 및 보조제] 0.04% 이하),tannic acid (GRAS: [향료 및 보조제] 0.04% 이하)
43107,미국,triacetin (glyceryl triacetate),아이스크림류,냉동 유가공 디저트 믹스,(GRAS: GMP에 따라 사용),triacetin (glyceryl triacetate) (GRAS: GMP에 따라 사용)
43106,미국,tributyrin,아이스크림류,냉동 유가공 디저트 믹스,(GRAS: GMP에 따라 사용),tributyrin (GRAS: GMP에 따라 사용)
43105,미국,aconitic acid,아이스크림류,냉동 유제품,"[향료 및 보조제](GRAS: 0.0015% 이하, GMP에 따라 사용)","aconitic acid [향료 및 보조제](GRAS: 0.0015% 이하, GMP에 따라 사용)"
43104,미국,propylene glycol,아이스크림류,냉동 유제품,"(GRAS: [고결방지제, 산화방지제, 반죽강화제, 유화제, 향료, 조성보조제, 습윤제, 가공보조제, 용매 및 용제, 안정제, 증점제, 계면활성제, 텍스처라이저] 2.5% 이하, GMP에 따라 사용)","propylene glycol (GRAS: [고결방지제, 산화방지제, 반죽강화제, 유화제, 향료, 조성보조제, 습윤제, 가공보조제, 용매 및 용제, 안정제, 증점제, 계면활성제, 텍스처라이저] 2.5% 이하, GMP에 따라 사용)"
43103,미국,jagua (genipin-glycine) blue,아이스크림류,냉동 유제품 대체 디저트,GMP,jagua (genipin-glycine) blue GMP
43102,미국,jagua (genipin-glycine) blue,아이스크림류,냉동 유제품 디저트,GMP,jagua (genipin-glycine) blue GMP
43101,미국,oil of rue,아이스크림믹스류,"냉동 유제품 디저트 및 믹스(아이스크림, 우유 얼음, 샤베트, 기타 냉동 유제품 디저트 및 유사제품 포함)",(GRAS: [향료 및 보조제] 10ppm 이하),oil of rue (GRAS: [향료 및 보조제] 10ppm 이하)
43100,미국,oil of rue,아이스크림믹스류,"냉동 유제품 디저트(과일, 식용얼음, 제과류 및 아이싱 포함)",(GRAS: [향료 및 보조제] 10ppm 이하),oil of rue (GRAS: [향료 및 보조제] 10ppm 이하)
43099,미국,corn silk and corn silk extract,얼음류,"냉동 유제품 디저트(과일, 식용얼음, 제과류 및 아이싱 포함)",(GRAS: [향료] 10ppm),corn silk and corn silk extract (GRAS: [향료] 10ppm)
43098,미국,white mineral oil,냉동식품,냉동 육류,[핫멜트 코팅(hot melting coating)] 고기의 0.095%를 초과할 수 없음,white mineral oil [핫멜트 코팅(hot melting coating)] 고기의 0.095%를 초과할 수 없음
43097,미국,disodium ethylenediaminetetraacetate (disodium EDTA),기타 농산가공품류,냉동감자(절단 감자 포함),[색상 유지 촉진] 100ppm 이하,disodium ethylenediaminetetraacetate (disodium EDTA) [색상 유지 촉진] 100ppm 이하
43096,미국,disodium ethylenediaminetetraacetate (disodium EDTA),냉동식품,냉동감자(절단 감자 포함),[색상 유지 촉진] 100ppm 이하,disodium ethylenediaminetetraacetate (disodium EDTA) [색상 유지 촉진] 100ppm 이하
43095,미국,"polysorbate 20, 80, 40, 60, 65",소스류,넌스탠다드 드레싱,[유화제] 최종 드레싱 중량의 0.3% 이하,"polysorbate 20, 80, 40, 60, 65 [유화제] 최종 드레싱 중량의 0.3% 이하"
43094,미국,sorbitol,잼,넌스탠다드 잼 및 젤리,"(GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 30% 이하, GMP에 따라 사용)","sorbitol (GRAS: [고결방지제, 유동제, 보존 및 절임제, 건조제, 유화제, 유화제염, 응고제, 향료 및 보조제, 조성보조제, 습윤제, 윤활제, 이형제, 감미료, 금속이온봉쇄제, 안정제, 증점제, 표면처리제, 텍스처라이저] 30% 이하, GMP에 따라 사용)"
43093,미국,sorbitan monostearate,과자,넌스탠다드 제과 코팅과 스탠다드 카카오 가공품,"[유화제] 최종식품 중량의 1%를 초과하지 않는 양으로 단독 사용됨
sorbitan monostearate의 1%까지와 Polysorbate 60의 0.5%까지의 혼합물에서 Polysorbate 60과 함께 사용될 수 있으며 총 혼합물 중량의 1%를 초과해서는 안 됨","sorbitan monostearate [유화제] 최종식품 중량의 1%를 초과하지 않는 양으로 단독 사용됨
sorbitan monostearate의 1%까지와 Polysorbate 60의 0.5%까지의 혼합물에서 Polysorbate 60과 함께 사용될 수 있으며 총 혼합물 중량의 1%를 초과해서는 안 됨"
43092,미국,sorbitan monostearate,코코아가공품류,넌스탠다드 제과 코팅과 스탠다드 카카오 가공품,"[유화제] 최종식품 중량의 1%를 초과하지 않는 양으로 단독 사용됨
sorbitan monostearate의 1%까지와 Polysorbate 60의 0.5%까지의 혼합물에서 Polysorbate 60과 함께 사용될 수 있으며 총 혼합물 중량의 1%를 초과해서는 안 됨","sorbitan monostearate [유화제] 최종식품 중량의 1%를 초과하지 않는 양으로 단독 사용됨
sorbitan monostearate의 1%까지와 Polysorbate 60의 0.5%까지의 혼합물에서 Polysorbate 60과 함께 사용될 수 있으며 총 혼합물 중량의 1%를 초과해서는 안 됨"
43091,미국,"polysorbate 20, 80, 40, 60, 65",과자,넌스탠다드 제과 코팅과 스탠다드카카오 가공품,"[유화제] 최종 식품 중량의 0.5% 이하, Polysorbate 60의 최대 0.5%까지와 sorbitan monostearate의 1%까지의 혼합물에서 sorbitan monostearate와 함께 사용 가능총혼합물이 중량의 1% 초과불가","polysorbate 20, 80, 40, 60, 65 [유화제] 최종 식품 중량의 0.5% 이하, Polysorbate 60의 최대 0.5%까지와 sorbitan monostearate의 1%까지의 혼합물에서 sorbitan monostearate와 함께 사용 가능총혼합물이 중량의 1% 초과불가"
43090,미국,"polysorbate 20, 80, 40, 60, 65",코코아가공품류,넌스탠다드 제과 코팅과 스탠다드카카오 가공품,"[유화제] 최종 식품 중량의 0.5% 이하, Polysorbate 60의 최대 0.5%까지와 sorbitan monostearate의 1%까지의 혼합물에서 sorbitan monostearate와 함께 사용 가능총혼합물이 중량의 1% 초과불가(ⅰ) 단독 사용되는 경우, 최종 넌스탠다드 제과 코팅(nonstandardized confectionery coating)이나 스탠다드 카카오 가공품(standardized cacao products)의 중량 0.5% 초과 불가 (ⅱ) Polysorbate 60와 sorbitan monostearate를 각각 최대 0.5%와 1%까지 혼합한 sorbitan monostearate와 함께 사용한다. 단, 총 혼합물은 최종 넌스탠다드 제과 코팅(nonstandardized confectionery coating)이나 스탠다드 카카오 가공품(standardized cacao products) 중량의 1%를 초과 불가","polysorbate 20, 80, 40, 60, 65 [유화제] 최종 식품 중량의 0.5% 이하, Polysorbate 60의 최대 0.5%까지와 sorbitan monostearate의 1%까지의 혼합물에서 sorbitan monostearate와 함께 사용 가능총혼합물이 중량의 1% 초과불가(ⅰ) 단독 사용되는 경우, 최종 넌스탠다드 제과 코팅(nonstandardized confectionery coating)이나 스탠다드 카카오 가공품(standardized cacao products)의 중량 0.5% 초과 불가 (ⅱ) Polysorbate 60와 sorbitan monostearate를 각각 최대 0.5%와 1%까지 혼합한 sorbitan monostearate와 함께 사용한다. 단, 총 혼합물은 최종 넌스탠다드 제과 코팅(nonstandardized confectionery coating)이나 스탠다드 카카오 가공품(standardized cacao products) 중량의 1%를 초과 불가"
43089,미국,ethyl alcohol,그 외 분류,농축 바닐라 추출물,35% 이상(규정 Sec. 169.176 Concentrated Vanilla extract 참조),ethyl alcohol 35% 이상(규정 Sec. 169.176 Concentrated Vanilla extract 참조)
43088,미국,glycerin,그 외 분류,농축 바닐라 추출물,일반사용기준(규정 Sec. 169.176 Concentrated Vanilla extract 참조),glycerin 일반사용기준(규정 Sec. 169.176 Concentrated Vanilla extract 참조)
43087,미국,propylene glycol,그 외 분류,농축 바닐라 추출물,일반사용기준(규정 Sec. 169.176 Concentrated Vanilla extract 참조),propylene glycol 일반사용기준(규정 Sec. 169.176 Concentrated Vanilla extract 참조)
43086,미국,ethyl alcohol,그 외 분류,농축 바닐라 향료,35% 이상(규정 Sec. 169.178 Concentrated vanilla flavoring 참조),ethyl alcohol 35% 이상(규정 Sec. 169.178 Concentrated vanilla flavoring 참조)
43085,미국,glycerin,그 외 분류,농축 바닐라 향료,일반사용기준(규정 Sec. 169.178 Concentrated vanilla flavoring 참조),glycerin 일반사용기준(규정 Sec. 169.178 Concentrated vanilla flavoring 참조)
43084,미국,propylene glycol,그 외 분류,농축 바닐라 향료,일반사용기준(규정 Sec. 169.178 Concentrated vanilla flavoring 참조),propylene glycol 일반사용기준(규정 Sec. 169.178 Concentrated vanilla flavoring 참조)
43083,미국,corn syrup,농축유류,농축우유,일반사용기준(규정 Sec. 131.130 Evaporated milk 참조),corn syrup 일반사용기준(규정 Sec. 131.130 Evaporated milk 참조)
43082,미국,carriers for vitamin A,농축유류,농축우유,일반사용기준(규정 Sec. 131.130 Evaporated milk 참조),carriers for vitamin A 일반사용기준(규정 Sec. 131.130 Evaporated milk 참조)
43081,미국,high fructose corn syrup,농축유류,농축우유,일반사용기준(규정 Sec. 131.130 Evaporated milk 참조),high fructose corn syrup 일반사용기준(규정 Sec. 131.130 Evaporated milk 참조)
43080,미국,invert sugar,농축유류,농축우유,일반사용기준(규정 Sec. 131.130 Evaporated milk 참조),invert sugar 일반사용기준(규정 Sec. 131.130 Evaporated milk 참조)
